Timestamp,Moisture(%),AirTemp(C),Humidity(%),WaterTemp(C)
01:19:27,70,20.5,64.0,20.0
01:19:39,70,20.5,64.0,20.0
01:19:49,72,20.5,64.0,20.0
01:22:40,70,20.4,64.0,20.0
01:22:51,70,20.4,64.0,20.0
01:23:02,73,20.4,64.0,20.0
01:23:12,73,20.4,64.0,20.0
01:23:22,73,20.4,64.0,20.0
01:23:32,73,20.4,65.0,20.0
01:23:43,73,20.4,64.0,20.0
01:23:53,72,20.4,64.0,20.0
01:24:03,73,20.4,64.0,20.0
01:28:23,70,20.4,64.0,20.0
01:28:34,9,20.3,64.0,20.0
01:28:45,13,20.4,65.0,20.0
01:28:55,14,20.4,65.0,20.0
01:29:05,70,20.4,65.0,20.0
01:29:16,69,20.4,64.0,20.0
01:29:26,69,20.4,64.0,20.0
01:29:36,70,20.4,64.0,34.0
01:29:47,69,20.4,64.0,45.5
01:29:57,70,20.4,64.0,49.5
01:30:07,69,20.4,64.0,47.0
01:30:18,69,20.4,64.0,43.5
01:30:28,69,20.4,64.0,41.5
01:30:39,70,20.4,64.0,40.0
01:30:49,69,20.4,64.0,38.5
01:30:59,65,20.4,64.0,37.0
01:31:09,66,20.4,64.0,35.5
01:31:20,69,20.4,64.0,34.5
01:31:30,70,20.4,64.0,38.0
01:31:40,69,20.4,64.0,28.5
01:31:51,72,20.4,64.0,26.5
01:32:01,69,20.4,64.0,25.5
01:32:12,69,20.4,64.0,25.0
01:32:22,70,20.4,64.0,24.5
01:32:33,70,21.0,76.0,24.0
01:32:43,62,21.2,76.0,40.5
01:32:53,70,21.3,71.0,28.5
01:33:04,70,21.3,69.0,26.5
01:33:14,70,21.3,69.0,25.5
01:33:24,70,21.6,75.0,25.0
01:33:35,69,21.6,70.0,24.5
01:33:45,70,21.6,68.0,24.0
01:33:56,70,21.6,68.0,23.5
01:34:07,70,21.7,73.0,23.0
01:34:17,69,21.8,72.0,22.5
01:34:27,69,21.8,67.0,22.5
01:34:38,70,21.8,64.0,22.0
01:34:48,70,21.7,63.0,21.5
01:34:58,70,21.6,62.0,21.5
01:35:09,67,21.6,65.0,21.0
01:35:19,65,21.6,65.0,36.5
01:35:30,64,21.6,64.0,39.5
01:35:40,70,21.6,63.0,28.0
01:35:51,70,21.6,62.0,26.0
